framework,rank,dataset
h2o,1,adult
h2o,2,adult
h2o,3,adult
h2o,4,adult
h2o,5,adult
autogluon,6,adult
autogluon,7,adult
autogluon,8,adult
autogluon,9,adult
flaml,10,adult
lightautoml,11,adult
autogluon,12,adult
lightautoml,13,adult
lightautoml,14,adult
lightautoml,15,adult
flaml,16,adult
lightautoml,17,adult
flaml,18,adult
flaml,19,adult
flaml,20,adult
honcaml,21,adult
honcaml,22,adult
honcaml,23,adult
honcaml,24,adult
honcaml,25,adult
autosklearn,26,adult
autosklearn,27,adult
autosklearn,28,adult
autosklearn,29,adult
autosklearn,30,adult
autokeras,31,adult
autokeras,32,adult
autokeras,33,adult
autokeras,34,adult
autokeras,35,adult
tpot,36,adult
tpot,37,adult
tpot,38,adult
tpot,39,adult
tpot,40,adult
autopytorch,41,adult
autopytorch,42,adult
autopytorch,43,adult
autopytorch,44,adult
autopytorch,45,adult
